Game,Team,Player,Points,Rebounds,Assists,Steals,Turnovers,1p,1p_sum,2p,2p_sum,3p,3p_sum,Minutes,Won
one,pao,Singleton,9,6,0,0,1,1,2,4,9,0,1,22.19,olympiakos
one,pao,Rivers,16,4,2,0,0,1,1,3,7,3,5,29.33,olympiakos
one,pao,James,6,4,4,0,2,2,2,2,7,0,4,25.46,olympiakos
one,pao,Fotsis,5,4,0,0,0,0,0,1,2,1,2,15.33,olympiakos
one,pao,Pappas,0,1,1,0,0,0,0,0,1,0,1,12.54,olympiakos
one,pao,Feldein,0,0,0,0,1,0,0,0,2,0,0,13.45,olympiakos
one,pao,Gist,2,4,0,0,0,0,2,1,2,0,1,10.38,olympiakos
one,pao,Xarala/oulos,0,2,0,0,0,0,0,0,0,0,0,10.27,olympiakos
one,pao,Gabriel,2,1,0,1,0,0,0,1,1,0,1,8.09,olympiakos
one,pao,Bourousis,13,11,0,0,1,3,7,5,9,0,1,23.21,olympiakos
one,pao,Calathes,5,6,5,2,3,0,0,1,7,1,2,27.35,olympiakos
two,pao,Singleton,9,2,0,0,2,3,4,0,2,2,3,21.11,panathinaikos
two,pao,Rivers,9,1,2,4,1,0,2,3,5,1,3,29.14,panathinaikos
two,pao,James,14,2,2,0,1,6,8,4,7,0,0,22.47,panathinaikos
two,pao,Fotsis,0,0,0,0,0,0,0,0,0,0,0,0.09,panathinaikos
two,pao,Pappas,16,0,1,0,0,9,9,2,2,1,2,15.4,panathinaikos
two,pao,Feldein,6,1,1,1,0,0,0,0,0,2,3,17.13,panathinaikos
two,pao,Gist,2,5,1,0,1,0,0,1,5,0,0,17.07,panathinaikos
two,pao,Xarala/oulos,0,0,0,0,0,0,0,0,0,0,0,0,panathinaikos
two,pao,Gabriel,8,2,0,2,0,0,0,1,2,3,1,18.49,panathinaikos
two,pao,Bourousis,12,6,1,0,2,2,3,5,10,0,1,22.44,panathinaikos
two,pao,Calathes,8,10,3,0,5,4,6,2,5,0,0,35.06,panathinaikos
three,pao,Singleton,7,5,1,0,1,2,4,1,5,1,4,25.56,olympiakos
three,pao,Rivers,8,4,1,1,1,0,2,1,3,2,7,32.58,olympiakos
three,pao,James,16,3,3,0,2,5,5,1,6,3,5,23.4,olympiakos
three,pao,Fotsis,0,1,0,0,0,0,0,0,0,0,1,3.34,olympiakos
three,pao,Pappas,4,4,1,2,1,2,2,1,2,0,3,20.39,olympiakos
three,pao,Feldein,4,2,1,0,1,0,0,2,3,0,1,15.4,olympiakos
three,pao,Gist,4,0,0,1,1,0,0,2,2,0,1,20.12,olympiakos
three,pao,Xarala/oulos,0,0,0,0,0,0,0,0,0,0,0,0,olympiakos
three,pao,Gabriel,6,0,0,0,0,0,0,0,0,2,2,15.06,olympiakos
three,pao,Bourousis,2,6,0,0,1,0,0,1,3,0,1,14.24,olympiakos
three,pao,Calathes,11,5,3,2,0,2,4,3,8,1,2,27.51,olympiakos
four,pao,Singleton,14,9,1,1,0,2,2,3,5,2,5,30.41,panathinaikos
four,pao,Rivers,3,0,1,3,1,0,0,0,2,1,4,21.39,panathinaikos
four,pao,James,13,3,0,2,0,9,10,2,7,0,1,24.06,panathinaikos
four,pao,Fotsis,0,1,0,0,0,0,0,0,0,0,0,4.28,panathinaikos
four,pao,Pappas,2,1,3,2,1,2,2,0,3,0,2,20.2,panathinaikos
four,pao,Feldein,0,0,1,0,0,0,0,0,1,0,2,11.28,panathinaikos
four,pao,Gist,8,4,1,1,0,2,2,3,7,0,2,25.35,panathinaikos
four,pao,Xarala/oulos,0,0,0,0,0,0,0,0,0,0,0,0.32,panathinaikos
four,pao,Gabriel,5,3,1,0,0,0,0,1,1,1,3,19.29,panathinaikos
four,pao,Bourousis,12,3,0,1,2,4,4,4,7,0,0,14.25,panathinaikos
four,pao,Calathes,14,1,4,2,2,0,0,4,5,2,4,27.17,panathinaikos
five,pao,Singleton,2,8,1,1,2,0,0,1,4,0,3,25.4,panathinaikos
five,pao,Rivers,13,4,1,1,0,0,0,2,3,3,8,29.19,panathinaikos
five,pao,James,11,10,6,0,2,2,3,3,6,1,4,30.13,panathinaikos
five,pao,Fotsis,3,2,0,0,0,0,0,0,0,1,1,18.11,panathinaikos
five,pao,Pappas,10,0,0,3,0,0,0,2,2,2,9,18.32,panathinaikos
five,pao,Feldein,0,0,0,0,0,0,0,0,0,0,0,1.14,panathinaikos
five,pao,Gist,4,5,2,0,0,0,0,2,5,0,2,20.22,panathinaikos
five,pao,Xarala/oulos,0,0,0,0,0,0,0,0,0,0,0,0,panathinaikos
five,pao,Gabriel,3,3,1,0,1,0,0,0,0,1,2,10.41,panathinaikos
five,pao,Bourousis,8,5,3,1,0,4,7,2,5,0,0,15.47,panathinaikos
five,pao,Calathes,12,4,3,2,2,0,0,3,6,2,6,30.01,panathinaikos
one,osfp,Grin,3,7,2,0,0,0,0,0,5,1,4,14.32,olympiakos
one,osfp,Birts,5,4,0,0,0,3,4,1,1,0,0,9.43,olympiakos
one,osfp,Jang,4,1,0,0,1,2,2,1,3,0,0,4.15,olympiakos
one,osfp,Toliopoulos,0,0,0,0,0,0,0,0,0,0,0,0,olympiakos
one,osfp,Papapetrou,5,3,0,0,0,0,2,1,2,1,1,13.3,olympiakos
one,osfp,Spanoulis,11,6,10,0,2,3,6,4,5,0,5,34.26,olympiakos
one,osfp,Waters,2,0,1,0,0,0,0,1,2,0,0,5.48,olympiakos
one,osfp,Agravanis,0,2,0,0,1,0,0,0,1,0,2,13.43,olympiakos
